pid,tool_name,data_type,profiler_min_mem_usage,profiler_max_mem_usage,profiler_median_mem_usage,profiler_sust_avg_mem_usage,profiler_percentile_95_mem_usage,execution_time,run_number
50755,duckdb,list[tuple],227.046875,2340.359375,1957.21875,2284.0677083333335,2222.5812499999997,16.336142166983336,1
50890,duckdb,pd.DataFrame,228.390625,4095.0,1681.296875,4063.61328125,3734.2328125000004,8.941378958988935,1
50975,chdb,str - default,229.71875,5016.5,2637.0859375,4955.25,4630.6953125,8.396161207987461,1
51045,chdb,pd.DataFrame,228.125,5119.859375,2155.703125,5119.859375,4193.574999999999,2.213510875008069,1
51077,polars,pl.DataFrame,228.90625,4250.78125,2325.84375,4250.78125,4075.8624999999997,0.6056408750009723,1
